"LINK_ID","TIME","FLOW","LANE_NO","OCC","ASPEED","LARGE_CAR_FLOW"
"3036","2009-06-01 00:01:13","6","13","1","77","0"
"3036","2009-06-01 00:01:13","13","12","2","83","2"
"3036","2009-06-01 00:01:13","16","11","2","68","1"
"3036","2009-06-01 00:01:13","9","3","1","79","0"
"3036","2009-06-01 00:01:13","19","2","4","47","3"
"3036","2009-06-01 00:01:13","18","1","3","63","0"
"3036","2009-06-01 00:03:12","7","13","1","78","1"
"3036","2009-06-01 00:03:12","13","12","1","93","2"
"3036","2009-06-01 00:03:12","12","11","1","67","1"
"3036","2009-06-01 00:03:12","10","3","2","57","1"
"3036","2009-06-01 00:03:12","7","2","1","49","0"
"3036","2009-06-01 00:03:12","10","1","2","50","0"
"3036","2009-06-01 00:05:12","5","13","1","61","1"
"3036","2009-06-01 00:05:12","14","12","3","53","3"
"3036","2009-06-01 00:05:12","20","11","2","78","2"
"3036","2009-06-01 00:05:12","8","3","1","75","0"
"3036","2009-06-01 00:05:12","14","2","3","46","2"
"3036","2009-06-01 00:05:12","12","1","2","60","0"
"3036","2009-06-01 00:07:11","10","13","1","70","0"
"3036","2009-06-01 00:07:11","12","12","2","78","1"
"3036","2009-06-01 00:07:11","10","11","1","74","2"
"3036","2009-06-01 00:07:11","13","3","1","74","0"
"3036","2009-06-01 00:07:11","19","2","4","48","3"
"3036","2009-06-01 00:07:11","16","1","2","65","0"
"3036","2009-06-01 00:11:10","6","13","1","65","2"
"3036","2009-06-01 00:11:10","10","12","2","62","0"
"3036","2009-06-01 00:11:10","19","11","2","87","0"
"3036","2009-06-01 00:11:10","8","3","1","84","1"
"3036","2009-06-01 00:11:10","16","2","3","53","1"
"3036","2009-06-01 00:11:10","10","1","1","56","0"
"3036","2009-06-01 00:13:10","3","13","1","70","0"
"3036","2009-06-01 00:13:10","13","12","2","79","1"
"3036","2009-06-01 00:13:10","11","11","1","70","1"
"3036","2009-06-01 00:13:10","6","3","1","91","0"
"3036","2009-06-01 00:13:10","16","2","4","40","3"
"3036","2009-06-01 00:13:10","16","1","2","72","0"
"3036","2009-06-01 00:17:09","4","13","1","68","0"
"3036","2009-06-01 00:17:09","6","12","1","79","0"
"3036","2009-06-01 00:17:09","10","11","1","96","0"
"3036","2009-06-01 00:17:09","8","3","1","106","0"
"3036","2009-06-01 00:17:09","7","2","1","42","0"
"3036","2009-06-01 00:17:09","13","1","1","81","0"
"3036","2009-06-01 00:19:09","4","13","1","53","2"
"3036","2009-06-01 00:19:09","8","12","2","42","1"
"3036","2009-06-01 00:19:09","16","11","2","60","1"
"3036","2009-06-01 00:19:09","7","3","1","88","0"
"3036","2009-06-01 00:19:09","9","2","1","52","0"
"3036","2009-06-01 00:19:09","12","1","1","74","1"
"3036","2009-06-01 00:21:08","1","13","1","73","0"
"3036","2009-06-01 00:21:08","15","12","3","48","2"
"3036","2009-06-01 00:21:08","16","11","3","51","0"
"3036","2009-06-01 00:21:08","4","3","1","60","1"
"3036","2009-06-01 00:21:08","14","2","3","51","2"
"3036","2009-06-01 00:21:08","14","1","2","78","0"
"3036","2009-06-01 00:23:08","6","13","1","55","1"
"3036","2009-06-01 00:23:08","12","12","2","70","2"
"3036","2009-06-01 00:23:08","14","11","1","83","1"
"3036","2009-06-01 00:23:08","12","3","1","83","1"
"3036","2009-06-01 00:23:08","19","2","3","53","1"
"3036","2009-06-01 00:23:08","18","1","2","79","0"
"3036","2009-06-01 00:25:07","2","13","1","101","0"
"3036","2009-06-01 00:25:07","12","12","2","64","1"
"3036","2009-06-01 00:25:07","12","11","1","70","1"
"3036","2009-06-01 00:25:07","11","3","2","57","2"
"3036","2009-06-01 00:25:07","11","2","2","52","0"
"3036","2009-06-01 00:25:07","17","1","2","72","0"
"3036","2009-06-01 00:29:06","1","13","1","88","0"
"3036","2009-06-01 00:29:06","10","12","1","57","0"
"3036","2009-06-01 00:29:06","14","11","1","82","0"
"3036","2009-06-01 00:29:06","5","3","1","57","1"
"3036","2009-06-01 00:29:06","15","2","2","55","0"
